Company Name,Website,Company LinkedIn,Unnamed: 3,Unnamed: 4,Company Description,Meta Description,Meta Title,Industries,Location,Hiring,Company Size,Contact Email,Last Funding Type,Last Funding Date,Last Funding Amount,Total Funding Amount,Revenue,IT Spend,Downloads,Tech Changes,Monthly Visits,Investor,Research Notes
Datalyse,https://datalyse.io,,,,,We are more than a sales CRM. Datalyse is an integrated CRM platform to manage large volumes of sales effortlessly.,"Sales CRM with telecommunications, automations and end-to-end cloud solutions | Datalyse","Call Center, CRM, Information Technology, Lead Generation, SaaS, Sales Automation, Software, VoIP","Cardiff, Cardiff, United Kingdom",,,,,,,,,,,,,,
DaveAI,https://www.iamdave.ai,https://www.linkedin.com/company/daveai,,,,"DaveAI's enterprise platform uses lifelike AI Avatar, Text & Voice Agents to personalize customer journeys, boost engagement & increase conversion. Secure & scalable. See how.",AI Agents & Avatars for Enterprise | DaveAI Conversational Experience Platform,"Artificial Intelligence (AI), Sales Automation, Software","Bangalore, Karnataka, India",,,,,,,,,,,,,,No public API found
Dealmayker,https://dealmayker.com,https://www.linkedin.com/company/dealmayker,,,,"Uncover buying signals, enrich leads, and generate cold openers with semantic analysis based on your ICP. Boost sales with real-time prospect intelligence.","Dealmayker - Lead research, prioritization & generation","SaaS, Sales, Sales Automation, Sales Enablement","Berlin, Berlin, Germany",,,,,,,,,,,,,,No public API found
Datananas,http://www.datananas.com,https://www.linkedin.com/company/groupe-positive,,,,,,"B2B, Business Development, Commercial, Lead Generation, SaaS, Sales, Sales Automation, Software","Paris, Ile-de-France, France",,,,,,,,,,,,,,No public API found
DeepSales,https://deepsales.com,https://www.linkedin.com/company/deepsales,,,,"거래 가능성이 높은 검증된 해외 바이어를 빠르게 찾고 싶다면? 화장품, 패션, IT 중심 산업에 특화된 딥세일즈를 경험하세요.","딥세일즈 | 해외바이어 DB | 화장품, 패션, 소프트웨어, 가전, 가구등 | 타겟 바이어 발굴로 사업 기회 확장","Generative AI, Information Technology, Lead Generation, Software","Seoul, Seoul-t'ukpyolsi, South Korea",,,,,,,,,,,,,,
DeltaGen,https://www.deltagen.ai,https://www.linkedin.com/company/deltagenai,,,,"DeltaGen Virtual SE gives your reps real-time answers in live calls. Empower B2B teams to handle objections, win trust, and close deals faster.",DeltaGen | Virtual SE That Closes More B2B Deals,"Artificial Intelligence (AI), Product Management, Sales Enablement, Software","San Francisco, California, United States",,,,,,,,,,,,,,
Demoleap,https://demoleap.com,https://www.linkedin.com/company/demoleap,,,,,,,,,,,,,,,,,,,,,
DemandFarm,http://www.demandfarm.com,https://www.linkedin.com/company/demandfarm,,,,"DemandFarm | Key Account Management Platform to make Strategic Account Planning data-driven, predictable and scalable within your CRM.",#1 Key Account Management Software for Digital Account Planning,"B2B, SaaS, Sales, Sales Automation, Sales Enablement, Software","New York, New York, United States",,,,,,,,,,,,,,No public API found
Deft Sales,https://deftsales.com,https://www.linkedin.com/company/deft-sales-first-response-software/,,,,,Convert more leads | Deft Sales,"Information Technology, Lead Generation, Software","Houston, Texas, United States",,,,,,,,,,,,,,No public API found
Deskfirst,https://deskfirst.com,https://www.linkedin.com/company/deskfirst,,,,"Create personalized customer collaboration desktops to close deals faster, onboard quicker, and make clients happier.",Deskfirst | Accelerate Sales and Client Success with Personalized Customer Collaboration Desktops.,"Collaboration, File Sharing, Productivity Tools, SaaS, Sales, Sales Enablement","Los Angeles, California, United States",,,,,,,,,,,,,,No public API found
DexyAI,https://meetdexy.ai,https://www.linkedin.com/company/dexyai/,,,,"Dexy AI is your AI-powered Sales Development Representative that automates LinkedIn & email outreach, qualifies leads, and books meetings directly to your calendar. Get guaranteed qualified meetings with hyper-personalized outreach campaigns.",Dexy AI - Your AI Sales Development Rep | Book More Meetings,"Artificial Intelligence (AI), Generative AI, SaaS, Sales, Sales Automation, Sales Enablement","Wilmington, Delaware, United States",,,,,,,,,,,,,,No public API found
Deviceflow,https://getdeviceflow.com,https://www.linkedin.com/company/deviceflow,,,,"AI that automates medical device operations: transforming case requests, inventory management, order-to-cash and audit workflows without any changes for reps.","Deviceflow | Automated case scheduling, inventory, auditing & order-to-cash","Medical Device, Sales Enablement, Supply Chain Management","Portland, Oregon, United States",,,,,,,,,,,,,,No public API found
Dialworks,https://dialworks.io,https://www.linkedin.com/company/dialworks,,,,Dialworks is an on-demand sales training platform that replicates real-life scenarios for sales reps to train and upskill. Connect with customers just like,Ramp up your sales reps 3X faster,,,,,,,,,,,,,,,,No public API found
DilogR,http://www.dilogr.com,https://www.linkedin.com/company/dilogr/,,,,,,"Lead Generation, Software","Austin, Texas, United States",,,,,,,,,,,,,,No public API found
DoSales,https://dosales.email,,,,,Increase your sales by working less with DoSales automations for Gmail. Use email templates and email & link tracking to optimize your sales process.,Gmail Sales Powerup Home - DoSales,"Email, Productivity Tools, Sales Automation, Software",—,,,,,,,,,,,,,,No public API found
Documill,https://www.documill.com,https://www.linkedin.com/company/documill,,,,,,"Collaboration, Document Management, E-Signature, Enterprise Software, SaaS, Sales, Sales Automation, Software","Espoo, Southern Finland, Finland",,,,,,,,,,,,,,No public API found
Donna,https://www.askdonna.com,https://www.linkedin.com/company/donna-by-dealside/,,,,"Tight resources, big goals? Meet Donna—the only proactive AI assistant for field sales who preps you before meetings, logs it all after in your CRM, and makes admin vanish. More wins, less grind, and more deals. Book a demo now!",Donna - The only proactive AI assistant for field sales,"Artificial Intelligence (AI), CRM, Sales Automation, Sales Enablement","Ghent, Oost-Vlaanderen, Belgium",,,,,,,,,,,,,,No public API found
DocSales,https://www.docsales.com,https://www.linkedin.com/company/docsales,,,,,DocSales – Put your sales closing on autopilot,"CRM, E-Signature, SaaS, Sales Automation, Software","Winter Park, Florida, United States",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Documents & Proposals
Dooly,http://www.dooly.ai,https://www.linkedin.com/company/dooly,,,,"Dooly helps revenue teams win more deals by improving CRM hygiene, running a winning sales process, and eliminating low value work.","Dooly: Win more deals, together","Artificial Intelligence (AI), Computer, Sales Automation, Sales Enablement, Software","Vancouver, British Columbia, Canada",,,,,,,,,,,,,,No public API found
Double,https://usedouble.com,https://www.linkedin.com/company/double,,,,Double | Find and convert leads with hyper-targeted messages using AI,Double | Find and convert leads with hyper-targeted messages using AI,,,,,,,,,,,,,,,,No public API found
Dubb,https://dubb.com,https://www.linkedin.com/company/dubb,,,,Dubb is tje all-in-one sales and marketing video platform that helps drive sales.,Dubb - AI-Powered Video Sales System | Send Video Email,,,,,,,,,,,,,,,,No public API found
E Leads Pro,https://eleadspro.com,,,,,"Best LinkedIn lead generation software: Our AI-powered LinkedIn automation tool builds relationships, boosts brand awareness, & generates the hottest leads.",E Leads Pro: #1 LinkedIn Lead Generation Tool,"B2B, Lead Generation, Software","Naperville, Illinois, United States",,,,,,,,,,,,,,No public API found
Effybiz,https://effybiz.com,https://www.linkedin.com/company/effybiz,,,,,effyBiz,"Artificial Intelligence (AI), Information Technology, Sales Automation, Software","Walnut, California, United States",,,,,,,,,,,,,,No public API found
EmailFlow,https://emailflow.ai,,,,,"Email Flow AI: AI-driven B2B lead generation with full-stack cold email solutions. Leverage our intelligent platform for email business data, SMTP services, and automated outreach. Boost your sales pipeline today!",EmailFlow AI - Revolutionize Your Email Marketing,,,,,,,,,,,,,,,,No public API found
Elvance,https://elvance.io,https://www.linkedin.com/company/elvance-software,,,,"Presales Solution native to Salesforce, we provide opportunity management tools to improve forecasting and increase ROI and win-rate.",Presales Solution for Salesforce - Elvance,"CRM, SaaS, Sales, Sales Automation, Software","London, England, United Kingdom",,,,,,,,,,,,,,No public API found
Enterprise Lead,https://enterpriselead.com,https://www.linkedin.com/company/enterprise-lead/,,,,"Enterprise Lead provides real-time lead generation, distribution, and management software on a pay-per-sold lead pricing structure.",Lead Generation Software | Lead Management Software | Lead Distribution Software - Pay-Per-Sold Lead,"CRM, Lead Generation, Lead Management, Software","San Diego, California, United States",,,,,,,,,,,,,,No public API found
ExecVision,https://execvision.io,https://www.linkedin.com/company/execvision,,,,ExecVision is the only conversation intelligence platform designed to deliver measurable results through human behavior change. Learn how it can help your organization.,ExecVision | Conversation Intelligence That Drives Behavior Change,,,,,,,,,,,,,,,,No public API found
Expedience Software,http://www.expediencesoftware.com,https://www.linkedin.com/company/expedience-software,,,,Explore The Exciting New AI Possibilities In RFP Responses With Our Proposal Automation Software for MS Word. Schedule a Free Demo Today,AI-Powered RFP Response & Proposal Automation Software,"Internet, Sales Automation, Software","Amherst, New Hampshire, United States",,,,,,,,,,,,,,No public API found
FLG Burnley,http://getflg.com,https://www.linkedin.com/company/flgtechnology/,,,,,"Get FLG – A cloud-based guided selling platform that helps businesses organise leads, track interactions, and manage the sales process with greater clarity and efficiency.","CRM, Sales Automation, Software","Burnley, Lancashire, United Kingdom",,,,,,,,,,,,,,No public API found
FPX,http://www.fpx.com,https://www.linkedin.com/company/revalize,,,,Drive sales efficiency with enterprise CPQ software. Automate approval processes and deliver accurate quotes to your customers.,FPX Enterprise CPQ from Revalize,"CRM, Sales Automation, Software","Plano, Texas, United States",,,,,,,,,,,,,,No public API found
FallbackAi,https://fallbackai.com,https://www.linkedin.com/company/fallbackai,,,,Automate your outreach & follow-ups with AI-generated voicemail drops. Turn outbound sales inbound by cloning your salespeople's voices and sending voicemails to prospects on their behalf from their phone numbers.,AI-Generated Ringless Voicemail for Sales Lead Generation,"Real Estate, Sales, Sales Automation, Software","Brisbane, Queensland, Australia",,,,,,,,,,,,,,No public API found
Fastyr,https://fastyr.ai,https://www.linkedin.com/company/fastyr,,,,"The world's first Sales & Marketing Platform powered by AI. Fastyr AI helps you to generate leads, automate sales, and grow your business.",Fastyr AI - AI Powered Sales & Marketing Platform,"Artificial Intelligence (AI), Sales Automation, Software","West Hollywood, California, United States",,,,,,,,,,,,,,No public API found
FinalScout,https://finalscout.com,,,,,"Extract valid email addresses from LinkedIn & craft tailored emails based on LinkedIn profile with ChatGPT, guaranteeing up to 98% email deliverability.",Find anyone's professional email address,,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Prospecting
Find Me Sales,https://findmesales.com,https://www.linkedin.com/company/findmesales/,,,,"Researching Companies for You, Simplifying Sales Management, and Empowering Sales Wins with Smart Outreach. Try it free now",Find Me Sales | Complete Sales Solution,"Artificial Intelligence (AI), Information Technology, Machine Learning, Sales, Sales Automation, Software","London, England, United Kingdom",,,,,,,,,,,,,,
Fioro,https://www.fioro.ai,https://www.linkedin.com/company/fioro-ai,,,,Be one step ahead in every conversation with Fioro. Transform your team's customer interactions through AI coaches and advanced AI roleplays.,Fioro - AI Coaches for Sales & Communication,"Corporate Training, Sales, Sales Enablement","Munich, Bayern, Germany",,,,,,,,,,,,,,No public API found
First Sales,https://firstsales.io,https://www.linkedin.com/company/first-sales,,,,,Firstsales.io,,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Email Outreach
Five9,https://five9.com,https://www.linkedin.com/company/five9/,,,,Five9 delivers reliable cloud contact center and AI services that empower organizations to deliver extraordinary customer experiences. Request a demo!,Cloud Contact Center Software - AI Software As A Service,"Enterprise Call Centers, Sales",USA,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Voice & Calling
Flowup,https://flowup.com,https://www.linkedin.com/company/flowupinc/,,,,Experience NextGen Multichannel automated lead follow-up solution. Build to help you Drip Campaign and Sales automation campaigns to convert more leads. Try now.,FlowUp: Follow-up Automation Platform,"Information Technology, Lead Generation, Sales Automation, Software","San Francisco, California, United States",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Sales Engagement
Folderly,https://folderly.com,https://www.linkedin.com/company/folderly,,,,Take your email outreach to new heights with trusted email deliverability software. Start today and watch your inbox placement rates soar.,Folderly | Email Deliverability Software To Supercharge Outreach,,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Email Outreach
Forager,https://forager.ai,https://www.linkedin.com/company/forager,,,,,Forager,,,,,,,,,,,,,,,,No public API found
FreJun,https://frejun.com,https://www.linkedin.com/company/frejun/,,,,"FreJun's AI-driven business phone system helps your business with IVR, call recording, autodialer, and easy CRM integration to boost sales.","AI-Driven Business Phone Systems: IVR, Call Recording, Autodialer & CRM Integration","Sales, Support, Call Centers",India,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Voice & Calling
Fresh Proposals,https://www.freshproposals.com,https://www.linkedin.com/company/freshproposals,,,,"Send impressive proposals in minutes, Interactive fees, eSignature included. Use buyer insights to win clients, get paid using Fresh Proposal software",Fresh Proposal Software - Automate Your Sales Process,"Analytics, E-Signature, SaaS, Sales, Sales Automation, Security, Software","Wilmington, Delaware, United States",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Documents & Proposals
FullEnrich,https://fullenrich.com,https://www.linkedin.com/company/fullenrich,,,,"#1 Waterfall Enrichment platform with 15+ providers. 
Find emails and phones of people you want to do business with.",FullEnrich — B2B Email & Phone Waterfall Enrichment,,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Enrichment
Fundraise Insider,https://fundraiseinsider.com,https://www.linkedin.com/company/fundraise-insider/,,,,"Weekly sent, low cost, high-intent sales leads list for B2B SaaS and agencies. Get c-suite contacts of newly funded startups to pitch your services business.",B2B Sales Leads List of Recently Funded Startups,"Sales, Sales Enablement, Software","Raleigh, North Carolina, United States",,,,,,,,,,,,,,No public API found
Funnel Metrics,https://www.funnelmetrics.com,https://www.linkedin.com/company/funnelmetricsllc/,,,,Sales performance software that incorporates sales metrics and sales behaviors to determine future success of sales professionals. Sales performance SaaS!,Predictive Sales Performance Software for Sales Orgs | Funnel Metrics,"Enterprise Software, Sales Automation, Software","Elmhurst, Illinois, United States",,,,,,,,,,,,,,No public API found
FunnelSource,http://www.funnelsource.com,https://www.linkedin.com/company/funnelsource,,,,Utilize our top-class Advanced Revenue Intelligence Solutions and sales performance app Salesforce to streamline salesforce pipeline management at Funnel Source.,Amplify Your Sales with Salesforce Pipeline Management Tools,"Analytics, Business Intelligence, CRM, SaaS, Sales Automation, Software","San Francisco, California, United States",,,,,,,,,,,,,,No public API found
GTM Engine,https://www.gtmengine.ai,https://www.linkedin.com/company/gtm-engine,,,,"Transform your go-to-market strategy with GTM Engine's AI-powered platform. Analyze customer interactions, improve forecasting, and boost revenue growth.",GTM Engine - AI-Powered Go-To-Market Platform,"Artificial Intelligence (AI), CRM, Information Technology, Real Time, Sales Automation, Software","San Francisco, California, United States",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Workflow Automation
GalaxTel,https://www.galaxtel.com,https://www.linkedin.com/company/galaxtel,,,,"Galaxtel provides cutting-edge telecommunications and IT solutions, empowering businesses with innovative technology and seamless connectivity. Discover our range of services today.",Galaxtel: Unified VoIP Solutions,"CRM, Lead Generation, Software, VoIP","Wilmington, Delaware, United States",,,,,,,,,,,,,,No public API found
Gearset,https://gearset.com,https://www.linkedin.com/company/gearset,,,,"Gearset is the only platform you need for unparalleled deployment success, continuous delivery, automated testing and backups.",Gearset | The complete Salesforce DevOps solution,"Developer Platform, Developer Tools, DevOps, Internet, SaaS, Sales Automation, Software","Cambridge, Cambridgeshire, United Kingdom",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Workflow Automation
Genesy AI,https://www.genesy.ai,https://www.linkedin.com/company/genesy-ai,,,,"Create targeted lists in seconds, get reliable contact data, reach them automatically and convert them with our AI sales agent.",Genesy - Find leads and close faster with AI Sales Agents,"Artificial Intelligence (AI), SaaS, Sales Automation, Sales Enablement","Barcelona, Catalonia, Spain",,,,,,,,,,,,,,No public API found
GetAccept,https://www.getaccept.com,https://www.linkedin.com/company/getaccept,,,,"Enhance your sales process with GetAccept's AI-powered digital sales rooms, enabling faster deal closures, streamlined workflows, and integrated CRM solutions for every sales team.",GetAccept | AI-Powered Digital Sales Rooms & Proposal Software,"Direct Sales, Document Management, E-Signature, Enterprise Software, SaaS, Sales, Sales Automation, Sales Enablement","San Francisco, California, United States",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Documents & Proposals
GetResponse,https://getresponse.com,https://www.linkedin.com/company/getresponse,,,,"Unlock your revenue potential with GetResponse's marketing software. Automate sales, track revenue, and convert leads into loyal customers with ease.","Automation, Landing Pages and Email Marketing Platform",,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Email Outreach
GetSales,https://getsales.io,https://www.linkedin.com/company/getsalesio,,,,"GetSales is the first team-centric LinkedIn automation tool. Moreover it provides emailing features, making multichannel one step away.",GetSales.io - #1 LinkedIn & Email Outreach Automation Tools,"Sales, Sales Automation, Software","Tallinn, Harjumaa, Estonia",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Sales Engagement
GetVocal AI,https://getvocal.ai,https://www.linkedin.com/company/getvocal-ai,,,,GetVocal learns your business to create the most performance-driven agents you’ve ever had.,GetVocal – The AI Phone Agent That Masters Every Call,,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Voice & Calling
GojiberryAI,https://gojiberry.ai,https://www.linkedin.com/company/gojiberryai/,,,,"Gojiberry finds warm  leads with 10+ intent signals like funding, new roles, events & groups. AI Agents filter by your ICP and run smart outreach campaigns, booking demos automatically while syncing with Slack, HubSpot & Pipedrive.",Gojiberry AI - Grow your sales with warm leads & high intent outreach,"Lead Generation, SaaS, Software","Paris, Ile-de-France, France",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Prospecting
Golden Leads,https://goldenleads.io,,,,,"Experience the power of the most real-time and accurate LinkedIn Sales Navigator Data Extractor. Ditch stale leads, bypass Sales Navigator limits, and amplify your outreach. Try Golden Leads today.",Golden Leads | Real-Time and High-Volume LinkedIn Sales Navigator Data Extractor,,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Prospecting
Goose,https://www.gooseapp.com,https://www.linkedin.com/company/gooseapp/,,,,Goose è un innovativa App CRM per dispositivi web e mobile nato per gestire le relazioni con i clienti attraverso agenti commerciali.,"Goose App CRM per la Gestione Clienti, Offerte, Ordini su iPad, iPhone, Android e Desktop","CRM, Enterprise Resource Planning (ERP), Sales Automation, Software, Subscription Service","Savigliano, Piemonte, Italy",,,,,,,,,,,,,,Added to directory (lib/data.ts) - CRM
SalesFlow,https://salesflow.io/,,,,,"Salesflow is a Social automation tool for outbound outreach and prospecting. Send social connect message, InMails and more.",Salesflow - Social & Email Outreach Software for Lead Generation,"Information Technology, Lead Generation, Software",—,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Sales Engagement
Headreach,https://www.leadfuze.com/,linkedin.com/company/leadfuze,,,,"Our B2B database verifies contact info in real-time, builds your lists automatically, and integrates with the tools you already use.",#1 Prospecting Tool for Business Leads & Candidate Sourcing : LeadFuze,"Lead Generation, Software",—,,,,,,,,,,,,,,Added to directory (lib/data.ts) as LeadFuze - Prospecting
HelloDexter,https://hellodexter.com,https://www.linkedin.com/company/hello-dexter/,,,,,,,,,,,,,,,,,,,,,Added to directory (lib/data.ts) - Enrichment
Hive Perform,https://hiveperform.com,https://www.linkedin.com/company/hive-perform,,,,"Discover how industry leaders boost sales performance with Hive Perform’s AI-powered solution. Save 160 hours per quarter, increase team-wide sales by 35% and get new reps hitting targets within 36 days. Book a demo today!",Hive Perform: Your Sales Performance solution,"Artificial Intelligence (AI), SaaS, Sales Enablement, Software","London, England, United Kingdom",,,,,,,,,,,,,,No public API found
Homerun Presales,https://www.homerunpresales.com,https://www.linkedin.com/company/homerun-presales/,,,,,Homerun Presales,"Collaboration, CRM, Enterprise Software, Information Technology, Productivity Tools, SaaS, Sales, Sales Automation, Software","San Jose, California, United States",,,,,,,,,,,,,,Added to directory (lib/data.ts) - CRM
Hoops,https://hoopscrm.com,https://www.linkedin.com/company/hoopscrm/,,,,,Error: Could not fetch,"Productivity Tools, Sales Automation, Software","Brisbane, Queensland, Australia",,,,,,,,,,,,,,No public API found
Hussle,https://hussle.tech,https://www.linkedin.com/company/hussle,,,,,Error: Could not fetch,"Artificial Intelligence (AI), Information Technology, Sales Enablement","Lehi, Utah, United States",,,,,,,,,,,,,,No public API found
Hyperbound,https://www.hyperbound.ai,https://www.linkedin.com/company/hyperbound-ai,,,,"Hyperbound AI analyzes thousands of calls, uncovers why your top reps win, and builds AI roleplays to help you scale fast and reinforce your playbooks.",Hyperbound | AI Sales Coaching & Role-Play Platform,"Artificial Intelligence (AI), Corporate Training, Generative AI, Information Technology, Lead Generation, Natural Language Processing, Sales, Sales Automation, Sales Enablement, Training","San Francisco, California, United States",,,,,,,,,,,,,,No public API found
Neuralead,https://neuralead.ai/,https://www.linkedin.com/company/hyperhumansai/,,,,Hyperhumans combine exceptional human intelligence with A.I. to bring you tools that will help you become the best version of yourself.,"Hyperhumans | Exceptional humans, breathtaking A.I.","Artificial Intelligence (AI), Business Intelligence, Data Visualization, Lead Generation, Sales Automation, Software","Tallinn, Harjumaa, Estonia",,,,,,,,,,,,,,Added to directory (lib/data.ts) - Prospecting
HyprWin,https://hyprwin.com,https://www.linkedin.com/company/hyprwin,,,,HyprWin Generative AI | The ultimate sales enablement platform,HyprWin | Accelerate your wins,"Artificial Intelligence (AI), SaaS, Sales, Sales Automation, Sales Enablement, Software","Portland, Oregon, United States",,,,,,,,,,,,,,No public API found
Immowi,https://immowi.com,https://www.linkedin.com/company/immowi,,,,"Are you looking for buyers for your real estate projects? With Immowi, you generate high-quality leads using a unique lead generation approach. Let's boost your sales!",Lead Generation Expert For Real Estate Leads | Immowi,"Lead Generation, Real Estate, Software","Ghent, Oost-Vlaanderen, Belgium",,,,,,,,,,,,,,No public API found --- BATCH 16 FINISHED HERE ---
Improved Apps,http://improvedapps.com,https://www.linkedin.com/company/unaric/,,,,,Error: Could not fetch,"Information Technology, Sales Enablement","Camberley, Surrey, United Kingdom",,,,,,,,,,,,,,
Inbox,https://inboxapp.com,,,,,"Close your ideal buyers with Inbox, the outreach and sales tool for teams on X.",Inbox (formerly TweetDM) | Find and close prospects on X,"CRM, Lead Generation, Software, Twitter",—,,,,,,,,,,,,,,
Infinity SPM,https://infinityspm.com,https://www.linkedin.com/company/infinityspm,,,,"Optimize sales with InfinitySPM sales performance management software. Boost performance, streamline processes, and achieve unparalleled growth. Contact us now!",Sales Performance Management Software | InfinitySPM,"Information Technology, PaaS, Sales, Sales Automation, Software","Toronto, Ontario, Canada",,,,,,,,,,,,,,
InfoGlobalData,https://infoglobaldata.com,https://www.linkedin.com/company/infoglobaldata-mailing-list/,,,,Build 100% permission based b2b email lists for your online marketing campaigns. Buy phone verified contact lists with 90% email delivery guarantee.,InfoGlobalData - 100% Verified Email Lists & Mailing Lists,,,,,,,,,,,,,,,,
InsideSales,https://www.insidesales.com,https://www.linkedin.com/company/insidesales-playbooks,,,,,Error: Could not fetch,"Analytics, Artificial Intelligence (AI), Big Data, Enterprise Software, SaaS, Sales, Sales Enablement, Software","Austin, Texas, United States",,,,,,,,,,,,,,
Intellizence,https://intellizence.com,https://www.linkedin.com/company/intellizence-inc./,,,,,Error: Could not fetch,,,,,,,,,,,,,,,,
Intro CRM,https://outboundsync.com/,https://www.linkedin.com/company/outboundsync/,,,,"Integrate Smartlead, Instantly, EmailBison, Clay, and HeyReach with HubSpot and Salesforce using OutboundSync.",OutboundSync | Integrated outbound for HubSpot and Salesforce,"Lead Generation, Sales Automation, Software",—,,,,,,,,,,,,,,
IslandTime AI,https://islandtime.ai,https://www.linkedin.com/company/islandtime,,,,Revenue time management sales enablement tools powered by AI.,Welcome to IslandTime 🌴,"Artificial Intelligence (AI), CRM, Enterprise Software, Information Technology, Machine Learning, Sales, Sales Automation, Sales Enablement, Software","San Francisco, California, United States",,,,,,,,,,,,,,
Jeeva AI,https://www.jeeva.co,https://www.linkedin.com/company/jeevaai,,,,"Explore Jeeva University for in-depth courses and resources on AI sales automation, sales engagement, and modern revenue growth strategies",Jeeva AI | Try jeeva AI for Free,"Artificial Intelligence (AI), Lead Generation, Software","San Francisco, California, United States",,,,,,,,,,,,,,
Kaspr,https://www.kaspr.io,https://www.linkedin.com/company/kasprdata,,,,Spend less time prospecting and hit your quota. Kaspr is a LinkedIn Chrome Extension and web app that gives you access to B2B contact data in seconds.,Find B2B Contact Data With Our LinkedIn Extension | Kaspr,"Information Technology, Lead Generation, Search Engine, Software","Paris, Ile-de-France, France",,,,,,,,,,,,,,
Katalyz,https://www.katalyz.co,https://www.linkedin.com/company/katalyzco,,,,"Katalyz is a digital sales room solution. A collaborative space that Sales & Customer success teams create in one click from their CRM and share with their stakeholders to better engage, align, and turn their prospects into loyal customers.",Katalyz - The new way to drive deals,"B2B, Online Portals, SaaS, Sales Automation, Sales Enablement, Software","Paris, Ile-de-France, France",,,,,,,,,,,,,,
Keyplay,https://keyplay.io,https://www.linkedin.com/company/keyplay-io/,,,,,Keyplay | Your ideal account list is finally possible.,,,,,,,,,,,,,,,,
Kipplo,https://www.kipplo.com,https://www.linkedin.com/company/kipplo/,,,,"Access 500M+ verified B2B contacts worldwide, including key decision-makers. Scale your outreach and accelerate deal closures with Kipplo powerful Account Intelligence Platform.",Kipplo - A B2B Account Intelligence Platform,"B2B, Big Data, Database, Information Technology, Sales Automation, Software","Plano, Texas, United States",,,,,,,,,,,,,,
Kixie,https://kixie.com,https://www.linkedin.com/company/kixie/,,,,,Error: Could not fetch,"Sales, Small Businesses",USA,,,,,,,,,,,,,,
Klenty,http://www.klenty.com,https://www.linkedin.com/company/klenty-com/,,,,The #1 Sales Engagement Software to send personalized emails & automated follow-ups at scale. Leave the manual & repetitive tasks to Klenty. Focus more on building relationships and closing deals.,"Sales Engagement Software | Send Cold Emails & automated follow-ups with
      calls and tasks","SaaS, Sales, Sales Automation, Software","Palo Alto, California, United States",,,,,,,,,,,,,,
Klozers,https://www.klozers.com,https://www.linkedin.com/company/klozers/,,,,"Our Sales Training Courses cover essential areas such as SaaS, Sales Management, Key Account Selling, Telesales, and B2B Lead Generation.",Sales Training Courses & Sales Coaching | Klozers,"Sales, Sales Automation, Sales Enablement, Software","Dalkeith, Midlothian, United Kingdom",,,,,,,,,,,,,,
Klue,https://klue.com,https://www.linkedin.com/company/klue,,,,"Combine your research, build better battlecards, and fix weaknesses that your buyers care about. Make it easy to pick you instead of your competitors.",Klue | Competitive Intel + Win-Loss From One Platform,,,,,,,,,,,,,,,,
Kompyte,https://kompyte.com,https://www.linkedin.com/company/kompyte,,,,Get the competitive intelligence insights you need to overcome your competition.,Kompyte | Competitive Intelligence and Sales Battlecards Software,,,,,,,,,,,,,,,,
Koncert,http://www.koncert.com,https://www.linkedin.com/company/koncert-co,,,,Accelerate sales success with Koncert Platform. AI Parallel Dialer. AI Power Dialer. Cadence. Remote Salesfloor. Caller ID Management.,Koncert: AI-Powered Sales Dialer with Remote Salesfloor,"Artificial Intelligence (AI), B2B, Enterprise Software, Information Technology, Robotics, SaaS, Sales, Sales Automation, Software","Windham, New Hampshire, United States",,,,,,,,,,,,,,
Kuration,https://kuration.io,https://www.linkedin.com/company/kuration,,,,"Fuel growth with automated B2B research. Source, enrich, verify, and qualify company data at scale. Global coverage with AI-powered data enrichment and verification.",Kuration AI - Automated B2B Research & Data Enrichment,,,,,,,,,,,,,,,,
Lantern,https://withlantern.com,https://www.linkedin.com/company/withlantern,,,,"Lantern helps you close deals faster and smarter. Consolidate customer, prospect, and intent data, streamline sales tools, and use AI-powered insights.",Lantern | AI Platform & Growth Accelerator for Revenue Teams,,,,,,,,,,,,,,,,
Lavender,https://lavender.ai,https://www.linkedin.com/company/itslavenderduh,,,,Lavender helps thousands of sellers around the world write better emails faster and get more positive replies in less time.,Lavender - Your Magical AI Email Coach,,,,,,,,,,,,,,,,
